Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Czech Republic,CZE,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,..,..,4551181369.3,6948563349.6217,14612514155.024,13084766354.758,10035803025.8833,12624991439.2754,12935556425.9384,13141569753.3727,14463996078.863,23707070644.6402,26955067755.6512,28451131839.3705,29553533243.6102,31456871114.5707,34907225420.5585,37021635006.9227,41608025193.9671,42482656052.1115,40283021631.2917,44884691159.7428,56217653239.2376,54495073761.5879,64439594567.9619
Denmark,DNK,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,51047083013.0563,54586570137.44,49511372995.5304,55401906225.3287,65654988733.7157,67236623498.1782,62146446792.782,63119408013.7101,69768124337.3137,73805211462.8574,75600732870.9919,82139163399.0646,96209541077.8982,111354544653.396,125857013969.84,143039983431.718,162476547124.794,187914847967.188,147351415093.594,156241128999.112,177739658324.31,171448804355.016,182357424583.096,183859039121.897,..
Denmark,DNK,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,1983274879.71258,4198752277.24612,4831706293.51908,3189386537.5911,1854784040.04598,3089672486.2285,921262661.373001,-2008094992.07459,3047192196.55612,2261835981.64661,4848072420.25253,3460409556.63061,6963066045.36347,5940838083.38819,11103861629.5828,8218404333.996,4413619699.36698,10000302160.9357,10767024185.788,18182627609.9943,19874644962.544,18749775198.7217,24248056105.5281,21421473416.7637,..
Denmark,DNK,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,59902194759.4721,70542366628.5033,72601971536.1322,78144929369.6445,94087757455.0737,104863106987.62,80920548413.8822,73520594111.0941,78858237446.6987,85688552482.9647,86337835017.0044,91404296343.5919,107389177761.067,124138671920.431,150785903788.438,170804005192.743,197159567047.783,226437488353.564,172924848576.113,183022709108.084,208658299576.216,199170972986.316,214821203000.896,215158178387.907,..
Denmark,DNK,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,57053884728.3819,65463400338.9914,67175082820.771,73751147066.7042,90842100276.037,100208354311.546,78664112143.4063,74047820556.0819,73075827373.1935,80412321752.3666,78917721799.8447,84920769553.7091,96889923196.3866,114038404124.947,135485812268.367,157825933082.27,187432253506.611,210767680115.633,156820910843.629,159236705423.175,182869507234.654,174459948717.804,183488747994.889,187057532086.022,..
Denmark,DNK,GNI (current US$),NY.GNP.MKTP.CD,135338616180.724,149322642285.582,140767167322.136,153921121938.182,183119912894.474,185334643971.925,171200090847.15,175092675501.433,176481752243.342,160799569472.108,162491228913.346,176537423841.311,216751825371.526,252337967985.846,266571228468.042,286387805206.161,321131215900.95,356532433651.753,322967785259.938,325077612417.987,348752956954.198,329684948652.566,347896824317.861,352223740007.364,..
Denmark,DNK,GNI (constant 2005 US$),NY.GNP.MKTP.KD,187628082061.869,192077380634.149,193203519520.946,204120114633.762,211204100777.149,216878359475.617,223682603384.745,229276249013.836,236596046137.102,242521520694.686,246108146517.382,247798040836.992,250132509532.319,259393495613.595,266571228468.042,277902481310.926,278280562504.145,277943320107.812,263499160431.81,269525970377.151,273852368464.621,272525861532.146,274627951640.205,275754494057.981,..
Denmark,DNK,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,36402.2573126096,37142.4556034763,37235.9551544158,39207.2718641618,40357.1655941874,41207.5451486369,42324.1219114176,43225.2606866036,44457.9072109079,45419.2812169801,45926.1266069894,46093.9771803232,46401.8320743429,47995.6317354178,49188.0382423918,51110.6454322914,50953.7163113716,50593.8287529869,47708.6054887359,48583.5204313496,49160.5473306189,48738.6841360795,48910.2898557285,48905.3874073529,..
Denmark,DNK,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,23.1810743638,23.451711316,22.8075784056,22.6330701341,23.8674477929,23.9619028104,24.6346566744,24.0776771784,24.7229934604,25.7055612467,26.3771936373,25.6293917945,25.6371368007,25.9699771959,26.7091431176,27.6098697995,26.909990426,26.5710384064,22.3579061641,24.0306023138,24.8717770164,24.1857645418,25.0676889842,25.0340119122,..
Denmark,DNK,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,7990191376.6,11596800000,10941475115.48,9680247573.8801,11652292652.8255,14754073287.3858,19613798904.8085,15880870880.1845,22908485894.7994,15695952297.6095,17702199890.5947,27719139940.9686,37997724608.8611,40020823972.9222,34028013777.9641,31083834394.0808,34318339305.8825,42326708102.8888,76617708406.2957,76510012566.2205,84955231791.2683,89697829949.2626,88676585995.6962,75391898442.9736,..
Djibouti,DJI,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,194377704.379336,184148187.327328,204984216.834251,206160217.419438,194833474.941059,190281396.120886,195165455.9675,208000180.057506,200043889.017055,193241091.373557,213486307.189359,228003443.5998,252997676.132815,250730076.918316,287866937.503165,306626678.895572,306542276.939698,365702421.210774,399406935.590054,420873166.367509,403632660.180845,442041176.900873,469730645.224819,..,..
Djibouti,DJI,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,102070098.637752,70042369.7818491,111039213.148699,80221245.6603328,77638545.8105682,68478120.1996388,53297021.736317,43877763.4607053,69502197.2642513,33305011.7881398,68849488.8054872,69901699.8553913,79033991.4810293,3151006.35265388,20132679.874635,-16565290.5396661,-171352850.81673,-225386982.967685,-71100207.6288114,50489250.0042201,-171842382.160803,-147967882.242391,-308528536.301281,..,..
Djibouti,DJI,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,222067172.703282,213503187.580534,235250758.210903,229815272.252575,220727995.003404,214493503.862796,216845505.03317,229477664.429077,221723938.082725,218432261.803613,234958164.763872,252480010.803451,284215146.212322,283984447.532931,319821517.99731,341490313.468864,341737892.53943,411285104.180147,436363738.669037,453626752.043934,440313750.203971,487668874.246713,517029501.296977,..,..
Djibouti,DJI,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,307093703.051412,318392311.5445,306486008.969115,282510226.703653,263508533.037739,257380951.041239,262495709.567243,285779395.794532,268522009.216694,287124200.291468,271059694.689992,267796152.396172,315539525.435936,349317188.176974,372268893.377823,436808255.636644,592287911.95188,716516337.405258,593576448.478233,498297893.889862,686289183.608015,727038447.904299,918490217.813314,..,..
Djibouti,DJI,GNI (current US$),NY.GNP.MKTP.CD,482912542.693323,498044688.022237,489069946.714232,508328672.46977,515032736.705285,509744720.65766,514863184.429527,524854156.233647,548460197.162969,567019654.402125,584917440.820162,606422039.601398,673044665.515049,731072101.777505,775822778.399852,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,GNI (constant 2005 US$),NY.GNP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,775822778.399852,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,996.6813955697,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,33.3388096761,26.6152994475,31.4358360754,21.6936379049,23.2292554572,22.2257656294,19.6968372276,20.3032715071,21.0938587217,14.4198794697,19.4864847023,21.3241096644,28.831425835,22.1889175884,25.90948651,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,99996798.0910691,83401894.0220908,75101449.9661127,73758752.8481,72155534.12109,76970780.17172,66567643.7115,66454893.44868,70605909.33517,67804574.81469,70308696.82462,73707744.65984,100129582.2342,93939061.49455,89264775.17819,120326696.0764,132137440.023763,175495411.432042,241831906.95305,248997839.53053,244112138.240297,248630001.304803,424961517.691984,393148433.768386,..
Dominica,DMA,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,93100000,97677777.7777778,97059259.2592592,100074074.074074,107459259.259259,121844444.444444,137155555.555556,151603703.703704,156807407.407407,144511111.111111,121248518.518518,123167614.814815,118410740.740741,130478220.37037,129357542.592593,144430703.333333,147844255.185185,156733717.037037,147949173.703704,174064611.111111,190955615.925926,160266036.296296,169648258.518519,..,..
Dominica,DMA,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,-34185185.1851852,-27122222.2222222,-18196296.2962963,-26155555.5555555,-40240740.7407407,-51162962.9629629,-42251851.8518518,-23062962.962963,-35774074.0740741,-59818518.5185185,-52138148.1481481,-47354800,-53176439.2592592,-58856365.8518518,-76081115.5555555,-49851557.037037,-86949475.1851852,-129885324.814815,-111079073.703704,-80184677.037037,-67906485.1851852,-92105008.8888889,-72149157.4074074,..,..
